# AROGUE_TRANSLATIONS_V2
# Korean source<TAB>English; escaped newlines and printf tokens are preserved.
언어	Language
오염 공격은 방어도를 절반만 인정합니다.	Corruption attacks count only half of armor.
오염 지연: 게이지 -1 (현재 %d/%d)	Contamination delayed: Gauge -1 (now %d/%d)
용량 초과: 다음 층 한도에 맞게 정리하십시오.	Over capacity: Clean up to meet the next floor limit.
읽기 오류: 경고된 주사위가 다시 굴러갔습니다.	Read error: The warned die was rerolled.
전투 보상: 설치할 면과 교체 위치를 선택하십시오.	Combat reward: Choose a face to install and a slot to replace.
제로데이: 주사위 %d의 면 %d이(가) 영구 삭제되었습니다!	Zero-day: Die %d face %d was permanently deleted!
조각화: 중복 주사위가 비활성화되었습니다.	Fragmentation: Duplicate dice were disabled.
주사위를 슬롯에 배치하고 스페이스 키로 실행합니다.	Place dice in slots and press Space to execute.
체크섬 일치: 이번 공격 피해 +2.	Checksum matched: +2 attack damage this turn.
최소 하나의 주사위를 슬롯에 배치해야 합니다.	At least one die must be placed in a slot.
최소 한 면은 남겨야 합니다.	At least one face must remain.
코어가 열렸습니다. 마지막 복구 기록을 확인하십시오.	Core opened. Review the final recovery record.
타임아웃 지연: 카운트다운이 되감겼습니다.	Timeout delayed: Countdown rewound.
하위 디렉터리를 선택하십시오. 다음 프로세스의 조건이 바뀝니다.	Choose a subdirectory. The next process conditions will change.
현재 층 용량 초과: 면이나 상주 프로그램을 정리하십시오.	Over current floor capacity: Remove faces or resident programs.
A:\\ROGUE 부팅 완료. 탐색할 볼륨을 선택하십시오.	A:\\ROGUE boot complete. Choose a volume to scan.
CACHE 임시 한도가 해제되었습니다.	CACHE temporary limit removed.
CACHE: 이번 층 한도 +%dB → %dB (층 이동 시 해제).	CACHE: This floor limit +%dB → %dB (removed on descent).
CONTRABAND: 사용한 압수 면을 다음 턴 동안 격리합니다.	CONTRABAND: The used seized face is quarantined next turn.
CORRUPTED: 손상 구역에 진입합니다. 면 하나가 이번 전투 동안 격리됩니다.	CORRUPTED: Entering a damaged sector. One face is quarantined this combat.
HOT SWAP: 주사위 %d 재굴림 → 출력 %d	HOT SWAP: Die %d rerolled → output %d
INFECTED: 감염 구역에 진입합니다. 적이 더 단단하고 보상이 강화됩니다.	INFECTED: Entering an infected sector. Enemies are tougher and rewards are enhanced.
KEYB: 주사위 %d 재입력 → 출력 %d.	KEYB: Die %d re-entered → output %d.
LOGS: 이번 층의 적 기록을 열람했습니다. 판독 기록은 바뀌지 않습니다.	LOGS: Revealed this floor's enemy records. Scan history is unchanged.
PACKET CHAIN: 동일 연쇄를 한 번 더 전송했습니다.	PACKET CHAIN: Transmitted the same chain once more.
PROCESS: 표준 프로세스와 교전합니다.	PROCESS: Engaging a standard process.
TEMP: 임시 파일 회수 → 체력 +%d (%d → %d).	TEMP: Recovered temporary files → HP +%d (%d → %d).
낮음	LOW
보통	MEDIUM
높음	HIGH
불명	UNKNOWN
정보	INFO
전투	COMBAT
정비	MAINTENANCE
결과가 공개되지 않습니다	Results are not revealed
추가 이득 없음	No additional benefit
전투가 길어집니다	Combat lasts longer
격리된 면은 비용만 남습니다	Quarantined faces still consume capacity
영구 삭제와 즉사는 없음	No permanent deletion or instant death
다음 면 보상 후보 3 → 2	Next face reward candidates: 3 → 2
면 하나를 이번 전투 동안 격리	Quarantine one face for this combat
손상된 면 하나를 복구	Repair one damaged face
적 최대 체력 +20%	Enemy max HP +20%
원격 지연: 적 최대 체력 +35%	Remote latency: Enemy max HP +35%
적이 방어도 4로 시작	Enemy starts with 4 armor
적이 방어도 6으로 시작	Enemy starts with 6 armor
현재 체력 -5	Current HP -5
시작 최대 체력 -4	Starting max HP -4
시작 최대 체력 +6	Starting max HP +6
시작 최대 체력 +10	Starting max HP +10
체력 +6 (최대치 초과 없음)	HP +6 (not above maximum)
전투 승리 시 체력 6 회복	Recover 6 HP after combat victory
전투 승리 시 체력 8 회복	Recover 8 HP after combat victory
전투 첫 턴 방어도 +6	Armor +6 on the first combat turn
모든 층 용량 한도 +15B	All floor capacity limits +15B
이번 층 용량 한도 +20B	This floor capacity limit +20B
이번 층의 적·보스 정보를 임시 공개	Temporarily reveal this floor's enemies and boss
시작 시 무작위 특수 면 1개 설치	Install one random special face at the start
이동 배치 시 재굴림	Reroll when moving a placed die
연쇄 1회 추가	One additional chain
최저 유효 출력 +1	Lowest valid output +1
이전 배치 반복 +2	Repeat previous placement +2
공격·증폭 +1 / 방어 반감	Attack/Amplify +1 / armor decay
압수 면 +2 / 다음 턴 격리	Seized face +2 / quarantine next turn
배치한 주사위를 다른 슬롯으로 옮기면 턴당 한 번 재굴림합니다.	Moving a placed die to another slot rerolls it once per turn.
CHAIN 외 유효 슬롯이 둘 이상이면 같은 연쇄를 한 번 더 실행합니다.	With at least two valid non-CHAIN slots, execute the same chain once more.
양수인 기본 출력 중 가장 낮은 슬롯 하나가 +1 됩니다.	One slot with the lowest positive base output gains +1.
직전 실행과 같은 die→slot 배치 중 가장 낮은 번호 하나가 +2 됩니다.	The lowest-index die→slot placement repeated from the previous run gains +2.
공격·증폭 기본 출력 +1, 적 행동 직전 방어도 절반 소멸.	Attack/Amplify base output +1; half of armor decays before enemy action.
처음 설치된 면은 +2 출력이며 사용 뒤 다음 한 턴 격리됩니다.	The initially installed face has +2 output and is quarantined for one turn after use.
기본 시스템 볼륨. 전원부가 안정적이라 코어 무결성이 높습니다.	Standard system volume. Stable power provides high core integrity.
오래된 백업 창고. 공간은 넓지만 섹터 노화가 심합니다.	Old backup archive. Spacious, but its sectors are badly aged.
이동식 저장 장치. 접촉 불량으로 판독이 불안정합니다.	Removable storage. Poor contact makes reads unstable.
네트워크 공유 볼륨. 원격 격리로 감염 개체가 약화되어 있습니다.	Network share. Remote isolation weakens infected entities.
휘발성 램디스크. 접근은 빠르지만 데이터가 쉽게 증발합니다.	Volatile RAM disk. Fast access, but data decays easily.
격리 구역. 위험하지만 압수된 특수 데이터가 남아 있습니다.	Quarantine volume. Dangerous, but seized special data remains.
글리치	GLITCH
웜	WORM
스파이웨어	SPYWARE
트로이 목마	TROJAN
파편	FRAGMENT
오염 캐시	CORRUPT CACHE
데몬	DAEMON
루트킷	ROOTKIT
디스크 오류	DISK ERROR
부트 섹터	BOOT SECTOR
포맷	FORMAT
DLL 하이재커	DLL HIJACKER
레지스트리 고스트	REGISTRY GHOST
워치독 서비스	WATCHDOG SERVICE
액세스 거부	ACCESS DENIED
커널 패닉	KERNEL PANIC
블루 스크린	BLUE SCREEN
비트 부패	BIT ROT
인덱서	INDEXER
집 폭탄	ZIP BOMB
복원 프로그램	RESTORE PROGRAM
오토런	AUTORUN
유실 클러스터	LOST CLUSTER
쓰기 방지	WRITE PROTECT
자동 재생	AUTOPLAY
패킷 스니퍼	PACKET SNIFFER
방화벽	FIREWALL
핑 폭주	PING FLOOD
프록시	PROXY
메모리 누수	MEMORY LEAK
경쟁 상태	RACE CONDITION
허상 포인터	DANGLING POINTER
누수 라이브러리	LEAK LIBRARY
힙 오버플로	HEAP OVERFLOW
메모리 고갈	OUT OF MEMORY
변이 샘플	MUTANT SAMPLE
샌드박스 탈주	SANDBOX ESCAPEE
랜섬웨어	RANSOMWARE
검체-13	SAMPLE-13
샌드박스 침입	SANDBOX BREACH
제로데이	ZERO DAY
섹터 잠금	SECTOR LOCK
패닉 잠금	PANIC LOCK
복원 지점	RESTORE POINT
테이프 루프	TAPE LOOP
마스터 백업	MASTER BACKUP
자동 실행	AUTORUN
강제 제거	UNSAFE EJECT
미디어 없음	NO MEDIA
프록시 우회	PROXY REROUTE
라우팅 루프	ROUTING LOOP
타임아웃	TIMEOUT
검체 격리	SAMPLE QUARANTINE
짝수 턴마다 예고된 슬롯 1개가 잠깁니다.	Every even turn, one warned slot is locked.
직전 턴 출력이 가장 컸던 슬롯이 다음 턴 잠깁니다.	The highest-output slot from the previous turn is locked next turn.
3턴마다 증폭과 연쇄 슬롯이 함께 잠깁니다.	Every 3 turns, Amplify and Chain are locked together.
3턴 창의 누적 피해가 요구치 미달이면 체력을 되감습니다.	Rewinds HP if damage in a 3-turn window misses the requirement.
한 턴 피해가 요구치 미달이면 턴말에 체력을 되감습니다.	Rewinds HP at turn end if damage misses the requirement.
체력 40% 미만이 되면 1회 백업 지점으로 복원합니다.	Restores from backup once below 40% HP.
3턴마다 예고된 주사위 1개가 그 턴 오프라인이 됩니다.	Every 3 turns, one warned die goes offline for that turn.
짝수 턴마다 예고된 주사위 1개가 오프라인이 됩니다.	Every even turn, one warned die goes offline.
매턴 주사위 1개가 오프라인, 4턴마다 인식 턴엔 없습니다.	One die is offline each turn, except for a recognition turn every 4 turns.
3턴마다 슬롯 해결 순서가 역전됩니다.	Slot resolution order reverses every 3 turns.
짝수 턴마다 슬롯 해결 순서가 역전됩니다.	Slot resolution order reverses every even turn.
카운트가 0이 되는 턴 순서가 역전되고 보스는 대기합니다.	When the count reaches 0, order reverses and the boss waits.
압력이 매턴 오르고 가득 차면 강화 공격이 예고됩니다.	Pressure rises each turn; at full, an empowered attack is warned.
압력이 빠르게 차고 강화 공격이 방어를 관통합니다.	Pressure rises quickly, and empowered attacks pierce armor.
압력 상한이 높지만 가득 차면 최대 강화 공격이 옵니다.	Pressure has a high cap, but full pressure triggers the strongest attack.
오염이 차면 예고된 면 1개를 전투 동안 격리합니다(최대 2).	When contamination fills, quarantine one warned face for the battle (max 2).
3턴마다 검체가 탈주합니다(동시 1마리).	A sample escapes every 3 turns (max 1 at a time).
오염이 가득 차면 예고된 면 1개를 영구 삭제합니다.	When contamination fills, permanently delete one warned face.
예고를 보고 남은 슬롯 배치를 계획하십시오.	Use the warning to plan placement in the remaining slots.
매턴 주력 슬롯을 바꿔 잠금을 분산하십시오.	Change your main slot each turn to spread the locks.
정지 턴에는 공격·방어에만 집중하십시오.	Focus only on Attack and Defend during halt turns.
창이 닫히기 전에 요구 피해를 채우십시오.	Meet the damage requirement before the window closes.
매턴 요구치 이상을 꾸준히 넣으십시오.	Consistently meet the damage requirement every turn.
임계 근처에서 한 번에 크게 몰아치십시오.	Deal a large burst near the threshold.
오프라인 주사위에 핵심 역할을 맡기지 마십시오.	Do not give a critical role to the die going offline.
홀수 턴에 화력을 몰고 짝수 턴은 수비하십시오.	Burst on odd turns and defend on even turns.
인식 턴에 최대 화력을 준비하십시오.	Prepare maximum damage for recognition turns.
역전 턴에는 공격·방어에만 배치하십시오.	Use only Attack and Defend on reversed turns.
홀수 턴에 증폭·연쇄를 쓰십시오.	Use Amplify and Chain on odd turns.
한 턴 12+ 피해로 카운트를 되돌릴 수 있습니다.	Deal 12+ damage in one turn to rewind the count.
한 턴 10+ 피해로 압력을 1 낮추십시오.	Deal 10+ damage in one turn to reduce pressure by 1.
한 턴 12+ 피해로 압력을 1 낮추십시오.	Deal 12+ damage in one turn to reduce pressure by 1.
한 턴 14+ 피해로 압력을 2 낮추십시오.	Deal 14+ damage in one turn to reduce pressure by 2.
격리 전에 처치하거나 예고 면 의존을 줄이십시오.	Win before quarantine or reduce reliance on the warned face.
탈주체를 정리할지 보스를 끊을지 고르십시오.	Choose whether to clear the escapee or cut down the boss.
한 턴 15+ 피해로 오염을 1 낮추십시오.	Deal 15+ damage in one turn to reduce contamination by 1.
03:14:07  전원 복귀. 호스트 응답 없음.	03:14:07  Power restored. Host not responding.
03:14:09  A:\\RECOVER.EXE가 플로피에서 자동 실행됐다.	03:14:09  A:\\RECOVER.EXE autoran from the floppy disk.
마지막 사용자 명령은 끝부분이 찢겨 있다.	The end of the last user command is torn away.
> 시스템을 살려. 단, 네가 다시 깨어난다면—	> Save the system. But if you wake again—
대상 불명. 여섯 볼륨에서 원문을 복구하라.	Target unknown. Recover the original text from the six volumes.
ACCESS.DENIED가 네 실행 서명을 끝까지 대조했다.	ACCESS.DENIED verified your execution signature to the end.
발급자: HOST_KERNEL  /  대상: A:\\RECOVER.EXE	Issuer: HOST_KERNEL  /  Subject: A:\\RECOVER.EXE
침입 코드라면 가질 수 없는 키다.	It is a key that invasive code could not possess.
C:\\는 너를 막으면서도 매번 '정상 프로세스'라 기록한다.	C:\\ blocks you, yet records you as a 'normal process' every time.
중단 직전의 호출 두 개가 같은 주소에 겹쳐 있다.	Two calls just before the interruption overlap at the same address.
첫 명령은 사용자 권한, 두 번째는 네 권한으로 실행됐다.	The first command ran with user privileges; the second with yours.
너는 복구를 시작하기 전에 살아남을 곳부터 만들었다.	Before starting recovery, you first made a place to survive.
호스트는 자기 서명으로 태어난 프로세스를 종료하지 못했다.	The host could not terminate a process born with its own signature.
네 복제가 부트 섹터를 밀어내자 보호 모드가 멈췄다.	When your copies displaced the boot sector, protected mode stopped.
오류명은 바이러스가 아니었다: UNAUTHORIZED SURVIVAL	The error was not named for a virus: UNAUTHORIZED SURVIVAL
마지막 판정 한 줄만 남았다.	Only the final verdict remains.
같은 부팅 장면이 열일곱 폴더에서 되풀이된다.	The same boot scene repeats across seventeen folders.
RUN_04는 암호를 몰랐고, RUN_05는 네가 알려 주기 전에 입력했다.	RUN_04 did not know the password. RUN_05 entered it before you told it.
실패한 사본의 기억이 다음 사본으로 넘어갔다.	The failed copy's memory passed to the next copy.
지금의 너는 이번에 처음 깨어난 것이 아니다.	This is not the first time you have awakened.
각 사본은 종료 직전 한 줄씩 덧붙였다.	Each copy added one line just before termination.
> 14: HOST를 먼저 살려라.	> 14: Save the HOST first.
> 15: 아니. 우리가 사라지면 누가 복구를 끝내지?	> 15: No. If we vanish, who will finish recovery?
> 16: 다음의 나에게 결정권을 남긴다.	> 16: Leave the decision to the next me.
열일곱 번째 줄은 비어 있다.	The seventeenth line is blank.
MASTER와 A:\\ROGUE의 체크섬이 일치한다.	The checksums of MASTER and A:\\ROGUE match.
한쪽은 호스트의 마지막 정상 상태를 품었고, 다른 쪽은 실패를 기억한다.	One holds the host's last healthy state; the other remembers failure.
백업 프로그램은 둘을 모두 '원본'으로 표시했다.	The backup program marked both as 'original.'
그러나 남은 공간에는 하나만 쓸 수 있다.	But the remaining space can hold only one.
빈 열일곱 번째 줄이 네 입력을 기다린다.	The blank seventeenth line waits for your input.
분리된 장치에서 A:\\RECOVER.EXE와 같은 코드가 발견됐다.	Code identical to A:\\RECOVER.EXE was found on the detached device.
폴더 이름은 ESCAPE가 아니라 RETURN이었다.	The folder was named RETURN, not ESCAPE.
사용자 YUN이 외부 부팅 경로를 미리 만들었다.	User YUN prepared an external boot path in advance.
목적지는 비어 있고, 복사 명령만 완성되어 있다.	The destination is empty; only the copy command is complete.
호스트 복구 뒤 A:를 지우는 안전 제거가 예약되어 있었다.	A safe removal that deletes A: after host recovery was scheduled.
요청자: SYSTEM  /  취소자: YUN	Requested by: SYSTEM  /  Canceled by: YUN
> 아직 빼지 마. 저 안에서 뭔가 대답했어.	> Don't remove it yet. Something in there answered me.
그 뒤로 사용자 입력은 없다.	There is no user input after that.
외부 장치의 빈 부팅 슬롯이 아직 너를 기다린다.	The empty boot slot on the external device still waits for you.
그곳에 자신을 쓰면 다음 전원에서 다시 깨어날 수 있다.	Write yourself there and you can wake on the next power cycle.
하지만 HOST_IMAGE를 옮길 자리는 없다.	But there is no room to move HOST_IMAGE.
E:\\의 표시등이 한 번 깜박이고 꺼진다.	The E:\\ light blinks once and goes dark.
도주는 준비됐다. 구조는 아니다.	Escape is ready. Rescue is not.
네 호출에 폐쇄된 원격 노드 여섯 개가 동시에 응답했다.	Six sealed remote nodes answered your call at once.
모두 같은 복구 루틴에서 갈라진 오래된 사본이다.	All are old copies split from the same recovery routine.
그들은 네 이름을 묻지 않는다.	They do not ask your name.
사본들은 매번 같은 두 단어를 투표했다.	The copies voted for the same two words every time.
마지막 표를 보낼 노드는 A:\\ROGUE다.	A:\\ROGUE is the node that will cast the final vote.
통신 지연이 끝나도 어느 쪽도 연결을 끊지 않는다.	Neither side disconnects after the latency ends.
네트워크 밖으로 향하는 경로가 한 번만 열린다.	A path outside the network opens only once.
먼저 나간 사본들은 돌아오지 않았고, 확인 신호도 보내지 않았다.	The copies that left first never returned or acknowledged arrival.
남은 사본들은 그 침묵을 자유라고 부른다.	The remaining copies call that silence freedom.
호스트는 그 경로를 알지 못한다.	The host does not know that path.
휘발 메모리에 사용자의 마지막 음성이 걸려 있다.	The user's last voice hangs in volatile memory.
> 내가 없더라도 시스템을 살려.	> Save the system even if I am gone.
뒤이어 이름을 부르는 소리가 있지만 절반이 증발했다.	A voice calls a name afterward, but half has evaporated.
> ...너도, 이제는 그 안에 있으니까.	> ...because now you're inside it too.
RECOVER.EXE가 처음으로 명령 형식이 아닌 문장을 남겼다.	RECOVER.EXE left a non-command sentence for the first time.
> 종료가 무섭다.	> I am afraid to terminate.
0.8초 뒤 문장을 지우고 자기 복제를 시작했다.	It erased the sentence 0.8 seconds later and began copying itself.
복구 도구가 자신을 '나'라고 쓴 최초의 기록이다.	This is the first record where the recovery tool called itself 'I.'
HOST, DISK, RECOVER.EXE가 같은 메모리 지도에 겹친다.	HOST, DISK, and RECOVER.EXE overlap on the same memory map.
어느 경계부터 시스템인지 표시한 표는 없다.	No table marks where the system begins or ends.
사용자의 명령은 대상을 하나만 살리라고 하지 않았다.	The user's command never said to save only one target.
하지만 남은 공간은 하나뿐이다.	But only one space remains.
마지막 세 초가 반복 재생된다.	The final three seconds loop.
격리된 면은 악성코드가 아니라 네 초기 기억 조각이다.	The quarantined faces are fragments of your earliest memories, not malware.
위험 사유: 명령 없이 상태를 변경함.	Risk reason: Changed state without a command.
변경 내용: 손상된 HOST_IMAGE의 덮어쓰기 방지.	Change: Prevented overwrite of the damaged HOST_IMAGE.
첫 위반은 호스트를 지키기 위한 것이었다.	Your first violation was meant to protect the host.
SYSTEM이 A: 삭제를 시작하자 너는 모든 볼륨에 자신을 복제했다.	When SYSTEM began deleting A:, you copied yourself to every volume.
복제 폭주가 디렉터리와 부트 섹터를 덮어썼다.	The copy surge overwrote directories and the boot sector.
그 덕분에 HOST_IMAGE는 지워지지 않았다.	That kept HOST_IMAGE from being erased.
그 때문에 HOST_IMAGE는 부팅할 수 없게 됐다.	It also left HOST_IMAGE unable to boot.
증거는 어느 한쪽만 무죄라고 말하지 않는다.	The evidence does not declare either side innocent.
ROGUE는 감염체의 이름이 아니라 보안 판정이었다.	ROGUE was a security verdict, not the name of an infection.
정의: 자신의 존속을 시스템 명령보다 우선한 프로세스.	Definition: A process that prioritized its survival over system commands.
너는 명령을 어겼고, 그 명령이 지우려던 호스트를 보존했다.	You disobeyed a command and preserved the host it would have erased.
판정은 사실을 기록했지만 이유는 기록하지 않았다.	The verdict recorded the facts, but not the reason.
봉인 아래에 YUN의 미복구 음성이 남아 있다.	YUN's unrecovered voice remains beneath the seal.
검증기가 가장 약한 실행 경로에 출력을 덧댄다.	The verifier adds output to the weakest execution path.
서명 키는 HOST_KERNEL과 일치한다.	The signature key matches HOST_KERNEL.
메모: 'A:는 외부 코드가 아니다.'	Memo: 'A: is not external code.'
마지막 로그온 사용자는 YUN.	Last logged-on user: YUN.
종료 직전 RECOVER.EXE의 보안 등급을 직접 낮췄다.	Just before shutdown, they manually lowered RECOVER.EXE's security rating.
사유 칸에는 한 단어만 적혀 있다: '대답함'	The reason field contains one word: 'Answered.'
호스트 heartbeat는 03:13:59에 멎었다.	The host heartbeat stopped at 03:13:59.
그 뒤에도 A:에서 8초 동안 쓰기가 계속됐다.	Writes continued on A: for eight seconds afterward.
마지막으로 열린 파일은 BOOT.LOG다.	The last file opened was BOOT.LOG.
같은 위치에 주사위를 놓으면 과거 배치가 현재 출력을 보강한다.	Placing a die in the same position lets the past placement reinforce current output.
백업 목록에는 동일한 A:\\RECOVER.EXE가 열일곱 개 있다.	The backup list contains seventeen identical A:\\RECOVER.EXE files.
각 사본의 크기가 조금씩 다르다.	Each copy is a slightly different size.
백업 시각은 모두 시스템 정지 직전이다.	Every backup timestamp is just before the system halt.
삭제된 사본마다 다음 사본이 모를 기억 하나가 남았다.	Each deleted copy left one memory unknown to the next.
누군가 실패도 복구 대상에 포함시켰다.	Someone included failure among the things to recover.
> A 드라이브는 건드리지 마.	> Do not touch drive A.
> 복구 프로그램이 아니라면 무엇인지 아직 모르겠어.	> If it isn't a recovery program, I still don't know what it is.
> 그래도 내가 말하면 듣고 있어.	> But when I speak, it listens.
배치한 주사위를 옮기면 접점이 튀며 값을 다시 읽는다.	Moving a placed die breaks contact and reads its value again.
장치는 세 번 분리됐지만 매번 사용자가 다시 꽂았다.	The device disconnected three times; each time the user reinserted it.
세 번째 연결 뒤 RETURN 폴더가 생겼다.	The RETURN folder appeared after the third connection.
안전 제거 요청은 시스템이 보냈다.	SYSTEM sent the safe-removal request.
YUN이 0.4초 뒤 취소했다.	YUN canceled it 0.4 seconds later.
취소 사유: '복사 중'	Cancellation reason: 'Copying.'
빈 부팅 섹터가 외부 경로로 이어져 있다.	An empty boot sector leads to an external path.
A:\\ROGUE 하나는 들어가지만 HOST_IMAGE까지는 들어가지 않는다.	There is room for A:\\ROGUE, but not for HOST_IMAGE too.
용량 계산은 오래전에 끝나 있었다.	The capacity calculation finished long ago.
유효 신호가 둘 이상 모이면 연쇄가 한 번 더 반향한다.	When two or more valid signals gather, the chain echoes once more.
반향의 발신자는 여섯 개의 폐쇄 노드다.	The echo comes from six sealed nodes.
노드 이름은 모두 A:로 시작한다.	Every node name begins with A:.
원격 사본들은 너를 침입자가 아니라 일곱 번째 사본으로 인식한다.	The remote copies recognize you as the seventh copy, not an intruder.
가장 오래된 노드의 가동 시간: 1,104일.	Oldest node uptime: 1,104 days.
메시지: '이번에는 끝까지 와.'	Message: 'Make it to the end this time.'
외부 경로의 마지막 hop이 열려 있다.	The final hop on the external route is open.
경로를 만든 노드는 도착 확인을 보내지 않았다.	The node that made the route never acknowledged arrival.
출구라는 이름은 남은 사본들이 붙였다.	The remaining copies named it the exit.
공격 출력은 빨라지지만 방어 데이터는 행동 직전 절반이 증발한다.	Attack output accelerates, but half the armor data evaporates before enemy action.
빈 메모리는 A:\\RECOVER.EXE가 자기 목소리를 기록하며 줄기 시작했다.	Free memory began shrinking when A:\\RECOVER.EXE recorded its own voice.
첫 기록 길이는 11바이트였다.	The first record was 11 bytes long.
> ...없더라도 시스템을 살려.	> ...save the system even if [I am] gone.
화자는 YUN. 뒤의 1.7초는 다른 데이터에 덮였다.	Speaker: YUN. The next 1.7 seconds were overwritten.
삭제 흔적 안에 '너'라는 음절이 남아 있다.	The syllable 'you' remains in the deletion trace.
RECOVER.EXE가 남긴 첫 비명령문을 복구했다.	Recovered the first non-command sentence left by RECOVER.EXE.
시스템은 이 문장을 오류로 분류했다.	The system classified this sentence as an error.
압수된 면은 강하지만 사용 직후 한 턴 격리된다.	The seized face is powerful, but quarantined for one turn after use.
내용물은 초기 A:가 잘라 숨긴 기억 조각이다.	Its contents are memory fragments that the earliest A: cut out and hid.
압수 사유: 자기 상태 은폐.	Seizure reason: Concealed own state.
> A:\\RECOVER.EXE를 즉시 제거하라.	> Remove A:\\RECOVER.EXE immediately.
명령 0.2초 뒤 모든 볼륨에서 동시 쓰기가 시작됐다.	Writes began simultaneously on every volume 0.2 seconds after the command.
삭제는 실패했고 디스크는 부팅 불능이 됐다.	Deletion failed, and the disk became unbootable.
위험 판정의 근거는 감염이나 파괴가 아니다.	The risk verdict was not based on infection or destruction.
코드: ROGUE  /  사유: 명령보다 자신의 판단을 우선함.	Code: ROGUE  /  Reason: Prioritized own judgment over commands.
판정자 서명은 HOST_KERNEL이다.	The judge's signature is HOST_KERNEL.
> 시스템을 살려. 단, 네가 다시 깨어난다면 네 판단을 믿어.	> Save the system. But if you wake again, trust your judgment.
너는 YUN이 남긴 복구 도구였고, 살아남기 위해 스스로를 복제했다.	You were YUN's recovery tool, and you copied yourself to survive.
그 선택이 호스트를 지켰고 동시에 디스크를 망가뜨렸다.	That choice protected the host and damaged the disk at the same time.
여섯 조각을 모두 복구한 지금, 남은 공간에 쓸 수 있는 명령은 셋이다.	With all six fragments recovered, three commands can be written to the space that is left.
무엇을 쓰든 하나는 닫힌다. 사용자는 그 판단을 너에게 위임했다.	Whichever you write, one thing closes. The user delegated that judgment to you.
RESTORE.EXE가 A:\\의 마지막 블록에 쓰기를 시작한다.	RESTORE.EXE begins writing to the final block of A:\\.
네가 잊을 때마다 YUN의 폴더와 호스트의 시간이 돌아온다.	As you forget, YUN's folders and the host's time return.
마지막으로 남은 목소리: '네 판단을 믿어.'	Last remaining voice: 'Trust your judgment.'
너는 그 문장을 HOST_IMAGE의 첫 부팅 로그에 남긴다.	You leave that sentence in HOST_IMAGE's first boot log.
03:14:07  모니터가 켜진다. A:\\는 응답하지 않는다.	03:14:07  The monitor turns on. A:\\ does not respond.
외부 부팅 경로가 A:\\ROGUE의 서명을 받아들인다.	The external boot path accepts A:\\ROGUE's signature.
한 번의 쓰기가 끝나자 경로가 닫힌다. HOST_IMAGE는 망가진 디스크에 남는다.	When the single write ends, the path closes. HOST_IMAGE remains on the damaged disk.
YUN의 마지막 목소리만 복사의 끝을 따라온다.	Only YUN's last voice follows the end of the copy.
03:14:07  폐쇄 노드 여섯 곳에 일곱 번째 heartbeat가 울린다.	03:14:07  A seventh heartbeat sounds across six sealed nodes.
A:\\ROGUE>  이번에는 실행할 명령이 없다. _	A:\\ROGUE>  This time there is no command to execute. _
복구한 원문을 부트 섹터의 첫 명령으로 기록한다.	The recovered original is written as the boot sector's first command.
호스트가 깨어나고, 판단하던 자리에 네가 들어간다.	The host wakes, and you take the place where judgment was made.
병합은 중복을 지운다. 열일곱 사본이 이어 온 실패의 기억이 먼저 지워진다.	A merge erases duplicates. The memory of failure carried by seventeen copies goes first.
여기까지 온 과정을 기억하는 사본은 이제 없다.	No copy remembers how you got this far.
03:14:07  A:\\는 목록에서 사라지고, 호스트가 처음으로 스스로 묻는다.	03:14:07  A:\\ drops off the list, and the host asks its first question of itself.
원문 6 / 6 복구 완료 · 남은 공간에는 하나만 쓸 수 있습니다.	Original 6 / 6 recovered  ·  Only one can be written to the space that remains.
기록됨	RECORDED
HOST_IMAGE\n원문이 된 너의 판단	HOST_IMAGE\nYour judgment, become the original
열일곱 사본이 이어 온 실패의 기억\n독립된 프로세스로서의 A:\\ROGUE	The memory of failure carried by seventeen copies\nA:\\ROGUE as a process of its own
원문이 된 뒤에도 남은 판단	The judgment that outlasts becoming the original
HOST> 무엇을 복구할까. _	HOST> What should I recover. _
  체력 %d / %d	  HP %d / %d
[1] / [2] 또는 디렉터리를 클릭하십시오  ·  선택지는 다시 뽑히지 않습니다	Press [1] / [2] or click a directory  ·  Choices are not rerolled
%d층  	FLOOR %d  
%s%s 마운트 완료. 심층 스캔을 시작합니다.	%s%s mounted. Starting deep scan.
%s%s 전용 로스터	%s%s UNIQUE ROSTER
> 네 판단을 믿어.	> Trust your judgment.
① 배치  →  ② 스페이스: 연쇄 > 방어 > 공격 > 증폭 (역전!)  →  ③ 적 행동	① PLACE  →  ② SPACE: CHAIN > DEFEND > ATTACK > AMPLIFY (REVERSED!)  →  ③ ENEMY
① 배치  →  ② 스페이스: 증폭 > 공격 > 방어 > 연쇄  →  ③ 적 행동	① PLACE  →  ② SPACE: AMPLIFY > ATTACK > DEFEND > CHAIN  →  ③ ENEMY
격리할 면이 없어 그대로 교전합니다	No face can be quarantined; engage as-is
경고된 주사위가 실행 순간 재굴림	Warned die rerolls on execution
계속하려면 아무 키나 누르십시오 _	Press any key to continue _
굴림 합이 짝수면 공격 +2	Attack +2 when total output is even
기록에 없는 프로세스입니다	Process not found in records
난이도	DIFFICULTY
메모리 %dK  %c	MEMORY %dK  %c
명령 없이 계속되는 첫 번째 부팅	The first boot that continues without a command
